,Invest into ML Technologies,Invest into Eco-Friendly Technologies,Invest into Car Technologies,Invest into Crypto Technologies,Invest into Software Development,Invest into Advertisements,Invest into Education,Create Service Centres,Decrease Fuel Price,Use Eco-Friendly Materials,Use Cheap Materials,Get Government Support,Boosting Technological Progress,Encourage Existing Industries,Boost Infrastructure,Develop New Laws,Develop GPS Technologies,Develop Safety Systems,Increase Social Awareness,Rational Fuel Usage,Adequate Price,State-of-the-Art Software,Improved Hardware,Confidentiality Problem,Vehicle to Vehicle Connection,GPS/Internet quality,Systems to prevent Traffic Jams,Less Pollution,Ecology,Market,Social Acceptance,Technologies,Legal System,--Jobs--,Life Safety,Data Safety,Independency on Man,Low Production Price,High Sales
Invest into ML Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-0.15,1.0,0.0,0.0,0.0,-0.1,0.0,0.15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Invest into Eco-Friendly Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,-0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.7,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Car Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.1,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Crypto Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Software Development,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,1.0,0.0,0.2,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Advertisements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest into Education,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.02,0.8,0.1,0.4,0.08,0.0,0.0,0.0,-0.267,0.0,0.0,0.0,0.0,0.222,0.0,0.1,-0.3,0.0,0.0,0.0,0.0,0.0
Create Service Centres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0
Decrease Fuel Price,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Use Eco-Friendly Materials,-0.4,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
